1999,78.93826282187506
2000,-38.395442222426915
2001,-27.183910963757285
2002,-39.24434079071586
2003,43.60223467838185
2004,10.83690813173417
2005,2.642882693257098
2006,4.82389405466328
2007,18.808985206235217
2008,-40.78659935750344
2009,48.276156657653104
2010,18.2073880543572
2011,1.942918039059971
2012,15.896215299985927
2013,32.429952970788904
2014,20.13624132737619
2015,9.760422641191724
2016,9.380324722379996
2017,31.449101796407184
2018,-1.846264034325651
2019,38.40909855647902
2020,46.1942721608271
2021,29.244015328721453
2022,-33.22052429504946
2023,55.827602333800996
2024,27.73988028507368
2025,20.57801130977033
2026,2.937434759916502
